action,available_qualities,average_estimated_throughput_kbps,average_measured_bandwidth_kbps,average_previous_bandwidth,average_previous_bandwidth_kbps,average_stall_duration_sec,average_switch_magnitude_kbps,bandwidth_history,bitrate_kbps,buffer_after_download_sec,buffer_before_request_sec,buffer_level,buffer_level_sec,buffer_state,buffered_segments,client_id,connection_id,current_simulation_time,current_time,deadline_time,direction,download_time_sec,downward_switch_count,elapsed_time,estimated_throughput,event_counter,event_time,event_type,file_received_time,file_size_kbits,final_buffer_level_sec,final_simulation_time_sec,is_stalling_after_download,is_stalling_before_request,max_buffer_sec,maximum_stall_duration_sec,maximum_switch_magnitude_kbps,measured_bandwidth_kbps,message,playback_position_after_download_sec,playback_position_before_request_sec,playback_position_sec,playback_started,previous_quality_kbps,previous_simulation_time,quality_change_kbps,quality_switch_count,quality_switch_magnitudes,quality_switched,queue_size_after,queue_size_before,reason,rebuffer_time_after_download_sec,rebuffer_time_before_request_sec,request_time,run_id,safety_factor,segment_duration,segment_duration_sec,segment_id,segment_quality,segment_size,selected_quality,server_id,source,stall_count,stall_count_after_download,stall_count_before_request,stall_durations_sec,switch_direction,throughput_history,total_rebuffer_time_sec,total_segments,upward_switch_count,video_name
CONNECTION_REQUEST_CREATED,,,,,,,,,,,,,,,,client_1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_133725_008,,,,,,,,server_1,client,,,,,,,,,,
CONNECTION_ESTABLISHED,,,,,,,,,,,,,,,,client_1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_133725_008,,,,,,,,server_1,client,,,,,,,,,,
THROUGHPUT_ESTIMATION,,,,,,,,,,,,0,,STARTUP,,client_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO_PREVIOUS_BANDWIDTH,,,,run_20260712_133725_008,,,,,,,,,client,,,,,,,,,,
ABR_QUALITY_SELECTED,,,,,,,,,,,,0,,,,client_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,False,,,NO_BANDWIDTH_HISTORY_START_LOW,,,,run_20260712_133725_008,,,,,,,800,,client,,,,,NONE,,,,,
SEGMENT_ADDED_TO_BUFFER,,,,,,,,,,,,,4,,"[{""segment_id"": 1, ""remaining_duration_sec"": 2.6033333333333335}]",client_1,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,run_20260712_133725_008,,,4,1,,,,,client,,,,,,,,,,
THROUGHPUT_ESTIMATION,,,,2999.9999999999995,,,,,,,,4,,MEDIUM,,client_1,,,,,,,,,2399.9999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_133725_008,0.8,,,,,,,,client,,,,,,,,,,
ABR_QUALITY_SELECTED,,,,,,,,,,,,4,,,,client_1,,,,,,,,,2399.9999999999995,,,,,,,,,,,,,,,,,,,800,,600,1,,True,,,THROUGHPUT_AND_BUFFER_BASED,,,,run_20260712_133725_008,,,,,,,1400,,client,,,,,UP,,,,,
SEGMENT_ADDED_TO_BUFFER,,,,,,,,,,,,,7.75,,"[{""segment_id"": 1, ""remaining_duration_sec"": 2.6033333333333335}, {""segment_id"": 2, ""remaining_duration_sec"": 4}]",client_1,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,run_20260712_133725_008,,,4,2,,,,,client,,,,,,,,,,
THROUGHPUT_ESTIMATION,,,,3000.0,,,,,,,,7.75,,MEDIUM,,client_1,,,,,,,,,2400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_133725_008,0.8,,,,,,,,client,,,,,,,,,,
ABR_QUALITY_SELECTED,,,,,,,,,,,,7.75,,,,client_1,,,,,,,,,2400.0,,,,,,,,,,,,,,,,,,,1400,,0,1,,False,,,THROUGHPUT_AND_BUFFER_BASED,,,,run_20260712_133725_008,,,,,,,1400,,client,,,,,NONE,,,,,
SEGMENT_ADDED_TO_BUFFER,,,,,,,,,,,,,11.51,,"[{""segment_id"": 1, ""remaining_duration_sec"": 2.6033333333333335}, {""segment_id"": 2, ""remaining_duration_sec"": 4}, {""segment_id"": 3, ""remaining_duration_sec"": 4}]",client_1,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,run_20260712_133725_008,,,4,3,,,,,client,,,,,,,,,,
THROUGHPUT_ESTIMATION,,,,3000.0,,,,,,,,11.51,,MEDIUM,,client_1,,,,,,,,,2400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_133725_008,0.8,,,,,,,,client,,,,,,,,,,
ABR_QUALITY_SELECTED,,,,,,,,,,,,11.51,,,,client_1,,,,,,,,,2400.0,,,,,,,,,,,,,,,,,,,1400,,0,1,,False,,,THROUGHPUT_AND_BUFFER_BASED,,,,run_20260712_133725_008,,,,,,,1400,,client,,,,,NONE,,,,,
SEGMENT_ADDED_TO_BUFFER,,,,,,,,,,,,,15.225333333333332,,"[{""segment_id"": 1, ""remaining_duration_sec"": 2.6033333333333335}, {""segment_id"": 2, ""remaining_duration_sec"": 4}, {""segment_id"": 3, ""remaining_duration_sec"": 4}, {""segment_id"": 4, ""remaining_duration_sec"": 4}]",client_1,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,run_20260712_133725_008,,,4,4,,,,,client,,,,,,,,,,
THROUGHPUT_ESTIMATION,,,,2936.768149882904,,,,,,,,15.225333333333332,,HIGH,,client_1,,,,,,,,,2584.355971896956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_133725_008,0.8,,,,,,,,client,,,,,,,,,,
ABR_QUALITY_SELECTED,,,,,,,,,,,,15.225333333333332,,,,client_1,,,,,,,,,2584.355971896956,,,,,,,,,,,,,,,,,,,1400,,0,1,,False,,,THROUGHPUT_AND_BUFFER_BASED,,,,run_20260712_133725_008,,,,,,,1400,,client,,,,,NONE,,,,,
SEGMENT_ADDED_TO_BUFFER,,,,,,,,,,,,,18.93333333333333,,"[{""segment_id"": 1, ""remaining_duration_sec"": 2.6033333333333335}, {""segment_id"": 2, ""remaining_duration_sec"": 4}, {""segment_id"": 3, ""remaining_duration_sec"": 4}, {""segment_id"": 4, ""remaining_duration_sec"": 4}, {""segment_id"": 5, ""remaining_duration_sec"": 4}]",client_1,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,run_20260712_133725_008,,,4,5,,,,,client,,,,,,,,,,
CONNECTION_REQUEST_CREATED,,,,,,,,,,,,,,,,client_2,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_133725_008,,,,,,,,server_1,client,,,,,,,,,,
CONNECTION_ESTABLISHED,,,,,,,,,,,,,,,,client_2,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_133725_008,,,,,,,,server_1,client,,,,,,,,,,
THROUGHPUT_ESTIMATION,,,,,,,,,,,,0,,STARTUP,,client_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO_PREVIOUS_BANDWIDTH,,,,run_20260712_133725_008,,,,,,,,,client,,,,,,,,,,
ABR_QUALITY_SELECTED,,,,,,,,,,,,0,,,,client_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,False,,,NO_BANDWIDTH_HISTORY_START_LOW,,,,run_20260712_133725_008,,,,,,,800,,client,,,,,NONE,,,,,
SEGMENT_ADDED_TO_BUFFER,,,,,,,,,,,,,4,,"[{""segment_id"": 1, ""remaining_duration_sec"": 2.7199999999999998}]",client_2,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,run_20260712_133725_008,,,4,1,,,,,client,,,,,,,,,,
THROUGHPUT_ESTIMATION,,,,1200.0,,,,,,,,4,,MEDIUM,,client_2,,,,,,,,,960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_133725_008,0.8,,,,,,,,client,,,,,,,,,,
ABR_QUALITY_SELECTED,,,,,,,,,,,,4,,,,client_2,,,,,,,,,960.0,,,,,,,,,,,,,,,,,,,800,,0,0,,False,,,THROUGHPUT_AND_BUFFER_BASED,,,,run_20260712_133725_008,,,,,,,800,,client,,,,,NONE,,,,,
SEGMENT_ADDED_TO_BUFFER,,,,,,,,,,,,,7.708333333333334,,"[{""segment_id"": 1, ""remaining_duration_sec"": 2.7199999999999998}, {""segment_id"": 2, ""remaining_duration_sec"": 4}]",client_2,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,run_20260712_133725_008,,,4,2,,,,,client,,,,,,,,,,
THROUGHPUT_ESTIMATION,,,,1200.0,,,,,,,,7.708333333333334,,MEDIUM,,client_2,,,,,,,,,960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_133725_008,0.8,,,,,,,,client,,,,,,,,,,
ABR_QUALITY_SELECTED,,,,,,,,,,,,7.708333333333334,,,,client_2,,,,,,,,,960.0,,,,,,,,,,,,,,,,,,,800,,0,0,,False,,,THROUGHPUT_AND_BUFFER_BASED,,,,run_20260712_133725_008,,,,,,,800,,client,,,,,NONE,,,,,
SEGMENT_ADDED_TO_BUFFER,,,,,,,,,,,,,11.43,,"[{""segment_id"": 1, ""remaining_duration_sec"": 2.7199999999999998}, {""segment_id"": 2, ""remaining_duration_sec"": 4}, {""segment_id"": 3, ""remaining_duration_sec"": 4}]",client_2,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,run_20260712_133725_008,,,4,3,,,,,client,,,,,,,,,,
THROUGHPUT_ESTIMATION,,,,1195.2095808383235,,,,,,,,11.43,,MEDIUM,,client_2,,,,,,,,,956.1676646706588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_133725_008,0.8,,,,,,,,client,,,,,,,,,,
ABR_QUALITY_SELECTED,,,,,,,,,,,,11.43,,,,client_2,,,,,,,,,956.1676646706588,,,,,,,,,,,,,,,,,,,800,,0,0,,False,,,THROUGHPUT_AND_BUFFER_BASED,,,,run_20260712_133725_008,,,,,,,800,,client,,,,,NONE,,,,,
SEGMENT_ADDED_TO_BUFFER,,,,,,,,,,,,,15.059999999999999,,"[{""segment_id"": 1, ""remaining_duration_sec"": 2.7199999999999998}, {""segment_id"": 2, ""remaining_duration_sec"": 4}, {""segment_id"": 3, ""remaining_duration_sec"": 4}, {""segment_id"": 4, ""remaining_duration_sec"": 4}]",client_2,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,run_20260712_133725_008,,,4,4,,,,,client,,,,,,,,,,
THROUGHPUT_ESTIMATION,,,,1128.5429141716565,,,,,,,,15.059999999999999,,HIGH,,client_2,,,,,,,,,993.1177644710579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_133725_008,0.8,,,,,,,,client,,,,,,,,,,
ABR_QUALITY_SELECTED,,,,,,,,,,,,15.059999999999999,,,,client_2,,,,,,,,,993.1177644710579,,,,,,,,,,,,,,,,,,,800,,0,0,,False,,,THROUGHPUT_AND_BUFFER_BASED,,,,run_20260712_133725_008,,,,,,,800,,client,,,,,NONE,,,,,
SEGMENT_ADDED_TO_BUFFER,,,,,,,,,,,,,18.72,,"[{""segment_id"": 1, ""remaining_duration_sec"": 2.7199999999999998}, {""segment_id"": 2, ""remaining_duration_sec"": 4}, {""segment_id"": 3, ""remaining_duration_sec"": 4}, {""segment_id"": 4, ""remaining_duration_sec"": 4}, {""segment_id"": 5, ""remaining_duration_sec"": 4}]",client_2,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,run_20260712_133725_008,,,4,5,,,,,client,,,,,,,,,,
CONNECTION_REQUEST_HANDLED,,,,,,,,,,,,,,,,client_1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_133725_008,,,,,,,,server_1,server,,,,,,,,,,
CONNECTION_REQUEST_HANDLED,,,,,,,,,,,,,,,,client_2,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_133725_008,,,,,,,,server_1,server,,,,,,,,,,
EVENT_ADDED,,,,,,,,,,,,,,,,client_1,,0,,,,,,,,0,0,CONNECTION_REQUEST,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,run_20260712_133725_008,,,,,,,,server_1,event_queue,,,,,,,,,,
EVENT_ADDED,,,,,,,,,,,,,,,,client_2,,0,,,,,,,,1,0,CONNECTION_REQUEST,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,run_20260712_133725_008,,,,,,,,server_1,event_queue,,,,,,,,,,
EVENT_REMOVED,,,,,,,,,,,,,,,,client_1,,0,,,,,,0,,0,0,CONNECTION_REQUEST,,,,,,,,,,,,,,,,,0,,,,,1,2,,,,,run_20260712_133725_008,,,,,,,,server_1,event_queue,,,,,,,,,,
EVENT_ADDED,,,,,,,,,,,,,,,,client_1,,0,,,,,,,,2,0,CONNECTION_ESTABLISHED,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,run_20260712_133725_008,,,,,,,,server_1,event_queue,,,,,,,,,,
EVENT_REMOVED,,,,,,,,,,,,,,,,client_2,,0,,,,,,0,,1,0,CONNECTION_REQUEST,,,,,,,,,,,,,,,,,0,,,,,1,2,,,,,run_20260712_133725_008,,,,,,,,server_1,event_queue,,,,,,,,,,
EVENT_ADDED,,,,,,,,,,,,,,,,client_2,,0,,,,,,,,3,0,CONNECTION_ESTABLISHED,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,run_20260712_133725_008,,,,,,,,server_1,event_queue,,,,,,,,,,
EVENT_REMOVED,,,,,,,,,,,,,,,,client_1,,0,,,,,,0,,2,0,CONNECTION_ESTABLISHED,,,,,,,,,,,,,,,,,0,,,,,1,2,,,,,run_20260712_133725_008,,,,,,,,server_1,event_queue,,,,,,,,,,
EVENT_REMOVED,,,,,,,,,,,,,,,,client_2,,0,,,,,,0,,3,0,CONNECTION_ESTABLISHED,,,,,,,,,,,,,,,,,0,,,,,1,2,,,,,run_20260712_133725_008,,,,,,,,server_1,event_queue,,,,,,,,,,
,,,,,,,,,,,,,,,,client_1,connection_client_1,,,,client_to_server,,,,,,0,CONNECTION_REQUEST,,,,,,,,,,,"{""event_time"": 0, ""event_type"": ""CONNECTION_REQUEST"", ""client_id"": ""client_1"", ""server_id"": ""server_1""}",,,,,,,,,,,,,,,,,run_20260712_133725_008,,,,,,,,server_1,connection,,,,,,,,,,
,,,,,,,,,,,,,,,,client_1,connection_client_1,,,,server_to_client,,,,,,0,CONNECTION_ESTABLISHED,,,,,,,,,,,"{""event_time"": 0, ""event_type"": ""CONNECTION_ESTABLISHED"", ""client_id"": ""client_1"", ""server_id"": ""server_1""}",,,,,,,,,,,,,,,,,run_20260712_133725_008,,,,,,,,server_1,connection,,,,,,,,,,
,,,,,,,,,,,,,,,,client_2,connection_client_2,,,,client_to_server,,,,,,0,CONNECTION_REQUEST,,,,,,,,,,,"{""event_time"": 0, ""event_type"": ""CONNECTION_REQUEST"", ""client_id"": ""client_2"", ""server_id"": ""server_1""}",,,,,,,,,,,,,,,,,run_20260712_133725_008,,,,,,,,server_1,connection,,,,,,,,,,
,,,,,,,,,,,,,,,,client_2,connection_client_2,,,,server_to_client,,,,,,0,CONNECTION_ESTABLISHED,,,,,,,,,,,"{""event_time"": 0, ""event_type"": ""CONNECTION_ESTABLISHED"", ""client_id"": ""client_2"", ""server_id"": ""server_1""}",,,,,,,,,,,,,,,,,run_20260712_133725_008,,,,,,,,server_1,connection,,,,,,,,,,
MPD_REQUEST_CREATED,,,,,,,,,,,,,,,,client_1,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_133725_008,,,,,,,,server_1,client,,,,,,,,,,video_1
MPD_RESPONSE_RECEIVED,"[800, 1400, 2800]",,,,,,,,,,,,,,,client_1,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_133725_008,,4,,,,,,,client,,,,,,,,5,,video_1
MPD_REQUEST_CREATED,,,,,,,,,,,,,,,,client_2,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_133725_008,,,,,,,,server_1,client,,,,,,,,,,video_2
MPD_RESPONSE_RECEIVED,"[800, 1400, 2800]",,,,,,,,,,,,,,,client_2,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_133725_008,,4,,,,,,,client,,,,,,,,5,,video_2
MPD_RESPONSE_CREATED,,,,,,,,,,,,,,,,client_1,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_133725_008,,,,,,,,,server,,,,,,,,,,video_1
MPD_RESPONSE_CREATED,,,,,,,,,,,,,,,,client_2,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_133725_008,,,,,,,,,server,,,,,,,,,,video_2
EVENT_ADDED,,,,,,,,,,,,,,,,client_1,,0,,,,,,,,4,0.1,MPD_REQUEST,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,run_20260712_133725_008,,,,,,,,server_1,event_queue,,,,,,,,,,
EVENT_ADDED,,,,,,,,,,,,,,,,client_2,,0,,,,,,,,5,0.1,MPD_REQUEST,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,run_20260712_133725_008,,,,,,,,server_1,event_queue,,,,,,,,,,
EVENT_REMOVED,,,,,,,,,,,,,,,,client_1,,0.1,,,,,,0.1,,4,0.1,MPD_REQUEST,,,,,,,,,,,,,,,,,0,,,,,1,2,,,,,run_20260712_133725_008,,,,,,,,server_1,event_queue,,,,,,,,,,
EVENT_ADDED,,,,,,,,,,,,,,,,client_1,,0.1,,,,,,,,6,0.1,MPD_RESPONSE,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,run_20260712_133725_008,,,,,,,,server_1,event_queue,,,,,,,,,,
EVENT_REMOVED,,,,,,,,,,,,,,,,client_2,,0.1,,,,,,0.0,,5,0.1,MPD_REQUEST,,,,,,,,,,,,,,,,,0.1,,,,,1,2,,,,,run_20260712_133725_008,,,,,,,,server_1,event_queue,,,,,,,,,,
EVENT_ADDED,,,,,,,,,,,,,,,,client_2,,0.1,,,,,,,,7,0.1,MPD_RESPONSE,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,run_20260712_133725_008,,,,,,,,server_1,event_queue,,,,,,,,,,
EVENT_REMOVED,,,,,,,,,,,,,,,,client_1,,0.1,,,,,,0.0,,6,0.1,MPD_RESPONSE,,,,,,,,,,,,,,,,,0.1,,,,,1,2,,,,,run_20260712_133725_008,,,,,,,,server_1,event_queue,,,,,,,,,,
EVENT_REMOVED,,,,,,,,,,,,,,,,client_2,,0.1,,,,,,0.0,,7,0.1,MPD_RESPONSE,,,,,,,,,,,,,,,,,0.1,,,,,1,2,,,,,run_20260712_133725_008,,,,,,,,server_1,event_queue,,,,,,,,,,
,,,,,,,,,,,,,,,,client_1,connection_client_1,,,,client_to_server,,,,,,0.1,MPD_REQUEST,,,,,,,,,,,"{""event_time"": 0.1, ""event_type"": ""MPD_REQUEST"", ""client_id"": ""client_1"", ""server_id"": ""server_1""}",,,,,,,,,,,,,,,,,run_20260712_133725_008,,,,,,,,server_1,connection,,,,,,,,,,
,,,,,,,,,,,,,,,,client_1,connection_client_1,,,,server_to_client,,,,,,0.1,MPD_RESPONSE,,,,,,,,,,,"{""event_time"": 0.1, ""event_type"": ""MPD_RESPONSE"", ""client_id"": ""client_1"", ""server_id"": ""server_1"", ""video_name"": ""video_1"", ""available_qualities"": [800, 1400, 2800], ""segment_duration"": 4, ""total_segments"": 5}",,,,,,,,,,,,,,,,,run_20260712_133725_008,,,,,,,,server_1,connection,,,,,,,,,,
,,,,,,,,,,,,,,,,client_2,connection_client_2,,,,client_to_server,,,,,,0.1,MPD_REQUEST,,,,,,,,,,,"{""event_time"": 0.1, ""event_type"": ""MPD_REQUEST"", ""client_id"": ""client_2"", ""server_id"": ""server_1""}",,,,,,,,,,,,,,,,,run_20260712_133725_008,,,,,,,,server_1,connection,,,,,,,,,,
,,,,,,,,,,,,,,,,client_2,connection_client_2,,,,server_to_client,,,,,,0.1,MPD_RESPONSE,,,,,,,,,,,"{""event_time"": 0.1, ""event_type"": ""MPD_RESPONSE"", ""client_id"": ""client_2"", ""server_id"": ""server_1"", ""video_name"": ""video_2"", ""available_qualities"": [800, 1400, 2800], ""segment_duration"": 4, ""total_segments"": 5}",,,,,,,,,,,,,,,,,run_20260712_133725_008,,,,,,,,server_1,connection,,,,,,,,,,
SEGMENT_REQUEST_CREATED,,,,,,,,,,,0,,,,,client_1,,,,0.2,,,,,,,0.2,,,,,,,False,,,,,,,0,,,,,,,,,,,,,0,,run_20260712_133725_008,,,,1,800,,,server_1,client,,,0,,,,,,,video_1
SEGMENT_REQUEST_CREATED,,,,,,,,,,,0,,,,,client_2,,,,0.2,,,,,,,0.2,,,,,,,False,,,,,,,0,,,,,,,,,,,,,0,,run_20260712_133725_008,,,,1,800,,,server_1,client,,,0,,,,,,,video_2
SEGMENT_REQUEST_HANDLED,,,,,,,,,,,,,,,,client_1,,,,,,0.13333333333333336,,,,,,,0.33333333333333337,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,run_20260712_133725_008,,,,1,800,400.0,,,server,,,,,,,,,,
SEGMENT_REQUEST_HANDLED,,,,,,,,,,,,,,,,client_2,,,,,,0.25,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,run_20260712_133725_008,,,,1,800,300.0,,,server,,,,,,,,,,
EVENT_ADDED,,,,,,,,,,,,,,,,client_1,,0.1,,,,,,,,8,0.2,SEGMENT_REQUEST,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,run_20260712_133725_008,,,,,,,,server_1,event_queue,,,,,,,,,,
EVENT_ADDED,,,,,,,,,,,,,,,,client_2,,0.1,,,,,,,,9,0.2,SEGMENT_REQUEST,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,run_20260712_133725_008,,,,,,,,server_1,event_queue,,,,,,,,,,
EVENT_REMOVED,,,,,,,,,,,,,,,,client_1,,0.2,,,,,,0.1,,8,0.2,SEGMENT_REQUEST,,,,,,,,,,,,,,,,,0.1,,,,,1,2,,,,,run_20260712_133725_008,,,,,,,,server_1,event_queue,,,,,,,,,,
EVENT_REMOVED,,,,,,,,,,,,,,,,client_2,,0.2,,,,,,0.0,,9,0.2,SEGMENT_REQUEST,,,,,,,,,,,,,,,,,0.2,,,,,1,2,,,,,run_20260712_133725_008,,,,,,,,server_1,event_queue,,,,,,,,,,
,,,,,,,,,,,,,,,,client_1,connection_client_1,,,,client_to_server,,,,,,0.2,SEGMENT_REQUEST,,,,,,,,,,,"{""event_time"": 0.2, ""event_type"": ""SEGMENT_REQUEST"", ""client_id"": ""client_1"", ""server_id"": ""server_1"", ""video_name"": ""video_1"", ""segment_id"": 1, ""segment_quality"": 800, ""deadline_time"": 0.2}",,,,,,,,,,,,,,,,,run_20260712_133725_008,,,,,,,,server_1,connection,,,,,,,,,,
,,,,,,,,,,,,,,,,client_2,connection_client_2,,,,client_to_server,,,,,,0.2,SEGMENT_REQUEST,,,,,,,,,,,"{""event_time"": 0.2, ""event_type"": ""SEGMENT_REQUEST"", ""client_id"": ""client_2"", ""server_id"": ""server_1"", ""video_name"": ""video_2"", ""segment_id"": 1, ""segment_quality"": 800, ""deadline_time"": 0.2}",,,,,,,,,,,,,,,,,run_20260712_133725_008,,,,,,,,server_1,connection,,,,,,,,,,
PLAYBACK_STARTED,,,,,,,,,,,,4,,,,client_1,,,0.33333333333333337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_133725_008,,,,,,,,,client,,,,,,,,,,
SEGMENT_RECEIVED_HANDLED,,,,,,,,,800,4,,,,,,client_1,,,,,,0.13333333333333336,,,,,0.33333333333333337,,,400.0,,,False,,,,,2999.9999999999995,,0,,,True,,,,,,,,,,0,,,run_20260712_133725_008,,,,1,,,,,client,,0,,,,,,,,
SEGMENT_REQUEST_CREATED,,,,,,,,,,,4,,,,,client_1,,,,4.333333333333333,,,,,,,0.33333333333333337,,,,,,,False,,,,,,,0,,,,,,,,,,,,,0,,run_20260712_133725_008,,,,2,1400,,,server_1,client,,,0,,,,,,,video_1
SEGMENT_REQUEST_HANDLED,,,,,,,,,,,,,,,,client_1,,,,,,0.25,,,,,,,0.5833333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,0.33333333333333337,run_20260712_133725_008,,,,2,1400,750.0,,,server,,,,,,,,,,
EVENT_ADDED,,,,,,,,,,,,,,,,client_1,,0.2,,,,,,,,10,0.33333333333333337,SEGMENT_RECEIVED,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,run_20260712_133725_008,,,,,,,,server_1,event_queue,,,,,,,,,,
EVENT_REMOVED,,,,,,,,,,,,,,,,client_1,,0.33333333333333337,,,,,,0.13333333333333336,,10,0.33333333333333337,SEGMENT_RECEIVED,,,,,,,,,,,,,,,,,0.2,,,,,1,2,,,,,run_20260712_133725_008,,,,,,,,server_1,event_queue,,,,,,,,,,
EVENT_ADDED,,,,,,,,,,,,,,,,client_1,,0.33333333333333337,,,,,,,,12,0.33333333333333337,SEGMENT_REQUEST,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,run_20260712_133725_008,,,,,,,,server_1,event_queue,,,,,,,,,,
EVENT_REMOVED,,,,,,,,,,,,,,,,client_1,,0.33333333333333337,,,,,,0.0,,12,0.33333333333333337,SEGMENT_REQUEST,,,,,,,,,,,,,,,,,0.33333333333333337,,,,,1,2,,,,,run_20260712_133725_008,,,,,,,,server_1,event_queue,,,,,,,,,,
,,,,,,,,,,,,,,,,client_1,connection_client_1,,,,server_to_client,,,,,,0.33333333333333337,SEGMENT_RECEIVED,,,,,,,,,,,"{""event_time"": 0.33333333333333337, ""event_type"": ""SEGMENT_RECEIVED"", ""client_id"": ""client_1"", ""server_id"": ""server_1"", ""video_name"": ""video_1"", ""segment_id"": 1, ""segment_quality"": 800, ""segment_size"": 400.0, ""segment_duration"": 4, ""download_time"": 0.13333333333333336, ""request_time"": 0.2, ""deadline_time"": 0.2}",,,,,,,,,,,,,,,,,run_20260712_133725_008,,,,,,,,server_1,connection,,,,,,,,,,
